plano;bloque;entra;sale;duración;escena
65;DESPUÉS;3:23.42;3:25.02;1.60;Una oficina de publicidad
66;DESPUÉS;3:25.02;3:26.62;1.60;Un maderero
67;DESPUÉS;3:26.62;3:28.32;1.70;Sin saber por qué
68;DESPUÉS;3:28.32;3:30.36;2.04;Veintitrés heridos
69;DESPUÉS;3:30.36;3:33.72;3.36;La historia fácil
70;DESPUÉS;3:33.72;3:35.52;1.80;Los otros veintiuno
71;DESPUÉS;3:35.52;3:38.66;3.14;Nadie vio venir nada
72;DESPUÉS;3:38.66;3:40.98;2.32;Ninguno hizo lo mismo
73;DESPUÉS;3:40.98;3:46.08;5.10;Un experimento no aprieta un gatillo
74;DESPUÉS;3:46.08;3:51.58;5.50;Cincuenta años
75;DESPUÉS;3:51.58;3:56.24;4.66;Ocurrió igual
76;DESPUÉS;3:56.24;4:00.12;3.88;Veintidós chavales
77;DESPUÉS;4:00.12;4:02.92;2.80;Sin que nadie lo parara
78;DESPUÉS;4:02.92;4:06.34;3.42;La universidad más prestigiosa
79;LO QUE INCOMODA;4:06.34;4:08.66;2.32;Siguió dando clase
80;LO QUE INCOMODA;4:08.66;4:10.26;1.60;Recibiendo premios
81;LO QUE INCOMODA;4:10.26;4:11.86;1.60;La silla que quedó vacía
82;LO QUE INCOMODA;4:11.86;4:15.62;3.76;Muriendo homenajeado
83;LO QUE INCOMODA;4:15.62;4:17.22;1.60;Los archivos se cerraron
84;LO QUE INCOMODA;4:17.22;4:18.82;1.60;Cerrados al público
85;LO QUE INCOMODA;4:18.82;4:24.14;5.32;Explicarle a una persona
86;LO QUE INCOMODA;4:24.14;4:25.74;1.60;Que puede marcharse
87;LO QUE INCOMODA;4:25.74;4:29.16;3.42;No mentirle
88;LO QUE INCOMODA;4:29.16;4:30.98;1.82;No existían en aquella sala
89;LO QUE INCOMODA;4:30.98;4:32.70;1.72;Bajo llave
90;LO QUE INCOMODA;4:32.70;4:34.48;1.78;Existen por cosas como esta
91;LO QUE INCOMODA;4:34.48;4:38.68;4.20;Terminaron la carrera
92;LO QUE INCOMODA;4:38.68;4:41.12;2.44;No volvieron a hablar del tema
93;LO QUE INCOMODA;4:41.12;4:46.04;4.92;Tú te habrías ido
94;LO QUE INCOMODA;4:46.04;4:50.34;4.30;Ellos también lo pensaban
95;LO QUE INCOMODA;4:50.34;4:52.34;2.00;Y se lo pedía Harvard
