plano,archivo,in,out,dur,anclado,titulo,narracion
15,015.png,0:28.31,0:29.42,1.10,,El pasillo del sótano,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
16,016.png,0:29.42,0:30.86,1.44,,La silla,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
17,017.png,0:30.86,0:32.21,1.36,,El espejo,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
18,018.png,0:32.21,0:33.48,1.27,,Los electrodos,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
19,019.png,0:33.48,0:34.84,1.36,,La correa del brazo,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
20,020.png,0:34.84,0:40.69,5.85,sí,El desconocido entra,"Y entra un desconocido con tus páginas en la mano y empieza a leerlas en voz alta, para destrozarlas una por una, delante de una cámara."
21,021.png,0:40.69,0:46.91,6.22,,El otro nombre,"Y entra un desconocido con tus páginas en la mano y empieza a leerlas en voz alta, para destrozarlas una por una, delante de una cámara."
22,022.png,0:46.91,0:52.40,5.49,,La pregunta,"Diecisiete años después, el FBI le pondrá el nombre que ya conoces: Unabomber."
23,023.png,0:52.40,0:57.52,5.12,,"Murray, antes de Harvard",La respuesta honesta es que no se puede demostrar.
24,024.png,0:57.52,1:03.38,5.85,,La OSS,"Pero lo que sí sabemos es exactamente qué le hicieron, quién se lo hizo, y que nadie pagó nunca por ello."
25,025.png,1:03.38,1:08.86,5.49,,Medir al espía,El profesor se llama Henry Murray.
26,026.png,1:08.86,1:13.99,5.12,,Cambió de sujetos,"Antes de dar clase en Harvard trabajó para la OSS, el servicio de inteligencia que fue el antecedente directo de la CIA."
27,027.png,1:13.99,1:19.47,5.49,,Veintidós,Su trabajo allí era diseñar pruebas para medir cuánto aguantaba un espía bajo interrogatorio.
28,028.png,1:19.47,1:25.33,5.85,,Ninguno preguntó,Cambió de sujetos.
29,029.png,1:25.33,1:31.18,5.85,,Nadie supo para qué,"A ninguno le contó, mientras duraba, qué se estaba midiendo en realidad."
30,030.png,1:31.18,1:34.21,3.03,sí,La redacción,El primer paso era esa redacción.
31,031.png,1:34.21,1:37.64,3.43,,Lo más íntimo,"Se les pedía escribir sobre lo más íntimo que tenían, cosas que uno no cuenta ni a sus amigos."
32,032.png,1:37.64,1:40.67,3.03,,Sinceridad enorme,"Se les pedía escribir sobre lo más íntimo que tenían, cosas que uno no cuenta ni a sus amigos."
33,033.png,1:40.67,1:43.50,2.83,,La munición,"Muchos lo hicieron con una sinceridad enorme, porque creían que aquello era un ejercicio académico."
34,034.png,1:43.50,1:46.94,3.43,,La sala,"Muchos lo hicieron con una sinceridad enorme, porque creían que aquello era un ejercicio académico."
35,035.png,1:46.94,1:50.17,3.23,,La antesala,Lo que ninguno sabía es que ese texto no era el estudio.
36,036.png,1:50.17,1:53.20,3.03,,Los focos,Era la munición.
37,037.png,1:53.20,1:56.43,3.23,,El pulso,"Los focos, el espejo, los electrodos midiendo el pulso y la respiración mientras ocurría."
38,038.png,1:56.43,1:59.97,3.54,sí,La respiración,"Los focos, el espejo, los electrodos midiendo el pulso y la respiración mientras ocurría."
39,039.png,1:59.97,2:03.74,3.77,,No era otro estudiante,El tercer paso era el hombre que entraba a discutir con ellos.
40,040.png,2:03.74,2:07.28,3.54,,Entrenado de antemano,No lo era.
41,041.png,2:07.28,2:11.28,4.00,,El ataque,"Era un estudiante de Derecho, entrenado de antemano para atacar sus ideas y ridiculizar sus valores, usando sus propias páginas, con un único objetivo: ponerlos todo lo furiosos que fuera humanamente posible."
42,042.png,2:11.28,2:15.05,3.77,,El reloj de la sala,"Era un estudiante de Derecho, entrenado de antemano para atacar sus ideas y ridiculizar sus valores, usando sus propias páginas, con un único objetivo: ponerlos todo lo furiosos que fuera humanamente posible."
43,043.png,2:15.05,2:18.83,3.77,,Todo lo furioso posible,"Era un estudiante de Derecho, entrenado de antemano para atacar sus ideas y ridiculizar sus valores, usando sus propias páginas, con un único objetivo: ponerlos todo lo furiosos que fuera humanamente posible."
44,044.png,2:18.83,2:22.37,3.54,,De su puño,"El propio Murray describió esos interrogatorios con dos palabras suyas, escritas de su puño: vehementes, y personalmente abusivos."
45,045.png,2:22.37,2:26.37,4.00,,Todo se grababa,"El propio Murray describió esos interrogatorios con dos palabras suyas, escritas de su puño: vehementes, y personalmente abusivos."
46,046.png,2:26.37,2:30.14,3.77,,Los que miraban,"El propio Murray describió esos interrogatorios con dos palabras suyas, escritas de su puño: vehementes, y personalmente abusivos."
47,047.png,2:30.14,2:33.68,3.54,,Su cara,Y aquí viene la parte que convierte esto en otra cosa.
48,048.png,2:33.68,2:37.16,3.48,sí,El momento exacto,"Su cara, sus gestos, el momento exacto en que se quebraban."
49,049.png,2:37.16,2:40.86,3.70,,Obligados a verse,Y después los sentaban delante de la grabación y les obligaban a verse.
50,050.png,2:40.86,2:44.35,3.48,,Más de una vez,"A veces, más de una vez."
51,051.png,2:44.35,2:47.61,3.26,,Mirarte siendo humillado,Tenías que mirarte siendo humillado.
52,052.png,2:47.61,2:51.09,3.48,,Otra vez desde el principio,Aquello duró tres años.
53,053.png,2:51.09,2:54.79,3.70,,Tres años,De mil novecientos cincuenta y nueve a mil novecientos sesenta y dos.
54,054.png,2:54.79,2:58.06,3.26,,Entró con dieciséis,Kaczynski entró con dieciséis años y salió con diecinueve.
55,055.png,2:58.06,3:01.54,3.48,,Salió con diecinueve,A cada estudiante le asignaron un nombre en clave para los informes.
56,056.png,3:01.54,3:03.92,2.38,sí,Lawful,El de Kaczynski era Lawful.
57,057.png,3:03.92,3:05.92,2.00,,Respetuoso de la ley,Respetuoso de la ley.
58,058.png,3:05.92,3:08.03,2.11,,El expediente,"Entre mil novecientos setenta y ocho y mil novecientos noventa y cinco, Theodore Kaczynski envió dieciséis paquetes bomba."
59,059.png,3:08.03,3:10.15,2.11,,Diecisiete años después,"Entre mil novecientos setenta y ocho y mil novecientos noventa y cinco, Theodore Kaczynski envió dieciséis paquetes bomba."
60,060.png,3:10.15,3:12.15,2.00,,El correo,"Entre mil novecientos setenta y ocho y mil novecientos noventa y cinco, Theodore Kaczynski envió dieciséis paquetes bomba."
61,061.png,3:12.15,3:14.26,2.11,,La saca,Mató a tres personas e hirió a veintitrés.
62,062.png,3:14.26,3:16.51,2.25,,Tres personas,Mató a tres personas e hirió a veintitrés.
63,063.png,3:16.51,3:18.51,2.00,,Una tienda de informática,"Ninguna de ellas tuvo nada que ver con Harvard, ni con Murray, ni con aquella sala."
64,064.png,3:18.51,3:20.62,2.11,,La cabaña por dentro,"Ninguna de ellas tuvo nada que ver con Harvard, ni con Murray, ni con aquella sala."
65,065.png,3:20.62,3:22.62,2.00,,Una oficina de publicidad,"Eran un dueño de una tienda de informática, un ejecutivo de publicidad, un maderero."
66,066.png,3:22.62,3:25.03,2.41,sí,Un maderero,"Eran un dueño de una tienda de informática, un ejecutivo de publicidad, un maderero."
67,067.png,3:25.03,3:27.75,2.73,,Sin saber por qué,Gente que no supo nunca por qué le había tocado.
68,068.png,3:27.75,3:30.32,2.57,,Veintitrés heridos,"Y aquí es donde hay que tener cuidado, porque la historia fácil es decir que Harvard fabricó a un asesino."
69,069.png,3:30.32,3:33.05,2.73,,La historia fácil,"Y aquí es donde hay que tener cuidado, porque la historia fácil es decir que Harvard fabricó a un asesino."
70,070.png,3:33.05,3:35.62,2.57,,Los otros veintiuno,Eso no se sostiene.
71,071.png,3:35.62,3:38.19,2.57,,Nadie vio venir nada,"Los otros veintiún estudiantes pasaron por exactamente lo mismo, y ninguno hizo lo que hizo él."
72,072.png,3:38.19,3:40.59,2.41,,Ninguno hizo lo mismo,"Los otros veintiún estudiantes pasaron por exactamente lo mismo, y ninguno hizo lo que hizo él."
73,073.png,3:40.59,3:43.32,2.73,,Un experimento no aprieta un gatillo,Un experimento no aprieta un gatillo.
74,074.png,3:43.32,3:46.70,3.38,sí,Cincuenta años,"Lo que hizo Kaczynski lo decidió Kaczynski, y hay tres familias que llevan cincuenta años viviendo con esa decisión."
75,075.png,3:46.70,3:50.29,3.59,,Ocurrió igual,"Lo que hizo Kaczynski lo decidió Kaczynski, y hay tres familias que llevan cincuenta años viviendo con esa decisión."
76,076.png,3:50.29,3:53.45,3.17,,Veintidós chavales,Lo incómodo no es que el experimento lo explique.
77,077.png,3:53.45,3:56.83,3.38,,Sin que nadie lo parara,Lo incómodo es que el experimento ocurrió igual.
78,078.png,3:56.83,3:60.00,3.17,,La universidad más prestigiosa,Ocurrió con veintidós chavales que no sabían dónde se estaban metiendo.
79,079.png,3:60.00,4:03.59,3.59,,Siguió dando clase,Ocurrió durante tres años sin que nadie lo parara.
80,080.png,4:03.59,4:06.97,3.38,,Recibiendo premios,"Y ocurrió en la universidad más prestigiosa del mundo, firmado por un hombre que siguió dando clase, recibiendo premios y muriendo homenajeado como uno de los grandes psicólogos de su siglo."
81,081.png,4:06.97,4:10.35,3.38,,La silla que quedó vacía,"Y ocurrió en la universidad más prestigiosa del mundo, firmado por un hombre que siguió dando clase, recibiendo premios y muriendo homenajeado como uno de los grandes psicólogos de su siglo."
82,082.png,4:10.35,4:13.07,2.72,sí,Muriendo homenajeado,"Y ocurrió en la universidad más prestigiosa del mundo, firmado por un hombre que siguió dando clase, recibiendo premios y muriendo homenajeado como uno de los grandes psicólogos de su siglo."
83,083.png,4:13.07,4:15.95,2.88,,Los archivos se cerraron,"Cuando el caso salió a la luz, décadas después, los archivos de aquel estudio se cerraron al público."
84,084.png,4:15.95,4:18.36,2.40,,Cerrados al público,"Cuando el caso salió a la luz, décadas después, los archivos de aquel estudio se cerraron al público."
85,085.png,4:18.36,4:21.08,2.72,,Explicarle a una persona,"Las normas que hoy obligan a explicarle a una persona en qué consiste un experimento antes de meterla dentro, a decirle que puede marcharse cuando quiera, a no mentirle sobre lo que le vas a hacer, no existían en aquella sala."
86,086.png,4:21.08,4:23.49,2.40,,Que puede marcharse,"Las normas que hoy obligan a explicarle a una persona en qué consiste un experimento antes de meterla dentro, a decirle que puede marcharse cuando quiera, a no mentirle sobre lo que le vas a hacer, no existían en aquella sala."
87,087.png,4:23.49,4:26.05,2.56,,No mentirle,"Las normas que hoy obligan a explicarle a una persona en qué consiste un experimento antes de meterla dentro, a decirle que puede marcharse cuando quiera, a no mentirle sobre lo que le vas a hacer, no existían en aquella sala."
88,088.png,4:26.05,4:28.78,2.72,,No existían en aquella sala,"Las normas que hoy obligan a explicarle a una persona en qué consiste un experimento antes de meterla dentro, a decirle que puede marcharse cuando quiera, a no mentirle sobre lo que le vas a hacer, no existían en aquella sala."
89,089.png,4:28.78,4:31.34,2.56,,Bajo llave,"Las normas que hoy obligan a explicarle a una persona en qué consiste un experimento antes de meterla dentro, a decirle que puede marcharse cuando quiera, a no mentirle sobre lo que le vas a hacer, no existían en aquella sala."
90,090.png,4:31.34,4:34.73,3.39,sí,Existen por cosas como esta,"Existen ahora, en parte, por cosas como esta."
91,091.png,4:34.73,4:37.92,3.18,,Terminaron la carrera,Los otros veintiún estudiantes terminaron la carrera y siguieron con sus vidas.
92,092.png,4:37.92,4:41.31,3.39,,No volvieron a hablar del tema,La mayoría no volvió a hablar del tema.
93,093.png,4:41.31,4:44.92,3.61,,Tú te habrías ido,"Y si estás pensando que tú te habrías levantado y te habrías ido, recuerda una cosa: ellos también lo pensaban."
94,094.png,4:44.92,4:48.73,3.82,,Ellos también lo pensaban,"Y si estás pensando que tú te habrías levantado y te habrías ido, recuerda una cosa: ellos también lo pensaban."
95,095.png,4:48.73,4:52.34,3.61,,Y se lo pedía Harvard,Y se lo pedía Harvard.
